file_name,CPU,family,source
f223ceadc59ff0d821cbaca76f015490f63ae01034e301aff956056c85b88ce2,Intel,mirai,2024
33ae5613078c3202ad903c06fdb90bf5c031da0cebd76c3f9e7ad228d1e7b606,Intel,mirai,2024
077167693efb902250168226faed7eb1174852dca5ba3f82a0f3ad87b5df99d3,Intel,mirai,2024
33e9e5ef4c6424619479ac824be45486fb60230d66cb2f1bc0c3ab1418d3407b,Intel,mirai,2025
728b9ce4f25650dc51a1db7700054c6c5e3fb4bb7ae8e7a71f7ca7708f8d7ba9,Intel,mirai,2024
4d4e237798e62c95587ba8325ead725ffbd7fe0490560d8bc255a477febca854,Intel,mirai,2024
6113cad3c5b4331ed5341d61c4dd794035299bb82389554c4c3e0c417d446d03,Intel,mirai,2024
4181c4e9ff65c8a444a881daa10b5ccd35103024ea4f0e65534721b54cf20a8f,Intel,mirai,2024
2d40a719e6ecf4d2d081869ff40cf5791ba1b7185761be35aff1ad3a78830ed4,Intel,mirai,2025
3226e1a5bd9ef4772c178468558ad9892d5c5dd44053d3b981f40287edfb6a9e,Intel,mirai,2024
ded0f2d147e2ea471d196c35a87e11191666653e00c5aae3be5e286850e36da3,Intel,mirai,2024
327d00ca50d29e53bd8e82a62c63701e7736ad032566734184c488a7449f1cd5,Intel,mirai,2025
fe87b640c1d07d0b658a279bce6f70147dbea2b5d8c3422cb8acc7dfcd0b2014,Intel,mirai,2025
e353187b086358f1774a963b24ef0dc63a6050d4976329a78a5fbf25b5d4b0d6,Intel,mirai,2024
2566299a37ff05a5ba14be6fc394323a2090d3723e8a71c9370903485e302fc1,Intel,mirai,2024
cc84b894b2b34d0427253341f4c918d42f8dc780172db50f86943b7e3ced38a6,Intel,mirai,2024
a28dcc076afb754f70b6035c134851440ea36d5c3295958198b52207f66cbb0c,Intel,mirai,2024
08ad25f3fdbea63826e676818617fcc53f17dc9faf943a48ccaaefce78fe4d9c,Intel,mirai,2024
1234443765436d25e83ef1c5f83733b7b8dbc31d8086ccf99f0928bc50a7e351,Intel,mirai,2024
1a0ab28dc7ead4029b21466d4fb4c9ba5d3144000edda72e3189825daed0db57,Intel,mirai,2024
4a9c6b0603cedcbf5a3a730af48773c6d655a6886f71ef0201e6b0ce0e773e93,Intel,mirai,2024
6278e2ef6b45f6cc34e59309b43a1b564088539712b6041070d9ef6a1c8a397b,Intel,mirai,2024
c305e3213f9ca746114fba916bd95c0bf254c165fa836ec03e827bc9e92a6d65,Intel,mirai,2024
d39141e9e4a1bb1de9241b272717ea9b6fd5dda4a8366328e628ef1a4ae80012,Intel,mirai,2024
